Morpho,Elevation,Disturbance,Percentage
Incipient Foredune,Low Dune,Undisturbed,41.7
Incipient Foredune,Low Dune,Partially Degraded,58.3
Established Foredune,High Dune,Partially Degraded,8
Established Foredune,Medium Dune,Partially Degraded,92
Parabolic Dune,Medium Dune,Undisturbed,19.34
Parabolic Dune,Medium Dune,Partially Degraded,70.75
Parabolic Dune,Low Dune,Partially Degraded,9.91
Hummocky Dune,Medium Dune,Partially Degraded,27.27
Hummocky Dune,Low Dune,Undisturbed,9.09
Hummocky Dune,Low Dune,Partially Degraded,63.64
