OBJECTID,ClassName,ClassValue,ORIG_FID,B2,B3,B4,B8,CMRI,EVI,GNDVI,NDVI,NDWI,SAVI,VV,GLCM_Mean,GLCM_Homogeinity,GLCM_Entropy,GLCM_Correlation
1,Water,7,1,0.079599999,0.101400003,0.078500003,0.035100002,-0.867756546,-0.119348802,-0.485714287,-0.382042259,0.127292931,-0.10609518,-21.35258484,6.771428585,1.225714326,2.83272934,0.905703008
2,Water,7,2,0.093999997,0.096799999,0.080399998,0.0294,-0.998553753,-0.158031717,-0.534072876,-0.464480847,0.092550799,-0.125450954,-22.65289307,5.900000095,1.642857194,0.964854002,0.975080371
3,Water,7,3,0.089199997,0.098800004,0.070200004,0.0083,-1.633539677,-0.20348455,-0.845004678,-0.788535058,0.169230759,-0.160501301,-22.04132462,6.857142925,1.299999952,2.226094246,0.964075387
4,Water,7,4,0.092200004,0.104199998,0.083400004,0.018100001,-1.347356319,-0.197400257,-0.704006553,-0.643349767,0.110874169,-0.1628429,-21.72128296,7.557142735,1.591428518,1.365160465,0.981809258
5,Water,7,5,0.076800004,0.093400002,0.0726,0.021199999,-1.177991867,-0.145890102,-0.630017459,-0.547974408,0.125301212,-0.1298417,-21.08753204,9.221428871,1.407142878,1.224401355,0.986210346
6,Water,7,6,0.089400001,0.101899996,0.092600003,0.022299999,-1.252738118,-0.193685263,-0.640901744,-0.611836374,0.047814876,-0.17149131,-26.98000908,0.949999988,1.31571424,2.065029144,0.264550269
7,Water,7,7,0.096000001,0.108999997,0.099600002,0.045600001,-0.781991363,-0.146230504,-0.410090536,-0.371900827,0.045062296,-0.125542477,-21.39723206,8.04285717,1.460000038,1.836355209,0.980485678
8,Water,7,8,0.082800001,0.095600002,0.0832,0.032400001,-0.933196366,-0.139468476,-0.493750006,-0.43944636,0.069351234,-0.123781674,-22.24563599,7.550000191,1.578571439,0.996950865,0.985414088
9,Water,7,9,0.086199999,0.099600002,0.088399999,0.022600001,-1.222907305,-0.181467175,-0.630114555,-0.592792749,0.059574485,-0.161538452,-27.79549217,1.557142854,1.196806669,2.698802471,0.384210527
10,Water,7,10,0.0748,0.092500001,0.074000001,0.0123,-1.480215073,-0.172288626,-0.765267193,-0.714947879,0.111111112,-0.157854348,-23.12762642,7.021428585,1.321428537,1.638919592,0.969714105
11,Water,7,11,0.085699998,0.096100003,0.088200003,0.034400001,-0.911622405,-0.146060705,-0.472796947,-0.438825458,0.042864893,-0.129617736,-22.49700928,5.357142925,1.142857194,3.115080595,0.891696751
12,Water,7,12,0.093999997,0.1052,0.097199999,0.047899999,-0.714030862,-0.133084983,-0.374265194,-0.339765698,0.039525699,-0.114633389,-23.13966179,5.57857132,1.081428528,3.086854219,0.886222601
13,Water,7,13,0.080700003,0.091899998,0.087399997,0.032400001,-0.937779069,-0.144501075,-0.478680581,-0.459098458,0.025097612,-0.133107439,-25.67968369,1.95714283,1.95714283,-0.973041058,0.978102207
14,Water,7,14,0.095399998,0.1074,0.092900001,0.0167,-1.426117659,-0.221872821,-0.7308622,-0.695255458,0.072391413,-0.1875,-24.39998627,2.349999905,1.587142825,1.370514035,0.85587585
15,Water,7,15,0.088,0.097800002,0.089400001,0.0272,-1.098247647,-0.172089413,-0.564800024,-0.533447683,0.044871796,-0.151313663,-24.08490372,2.757142782,1.460000038,1.409430027,0.870860934
16,Water,7,16,0.0647,0.077799998,0.0568,0.0288,-0.786765099,-0.079154186,-0.459662288,-0.32710281,0.15601781,-0.071721315,-18.79357529,12.4285717,1.246459961,2.846640587,0.917866945
